Title,State,Acceptance Criteria,Area Path,Iteration Path,Severity,Priority,Story Points,Value Area,Description,Parent
Implement API integration,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Implement unit tests,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,3,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 1,,3,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 3,,3,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 3,,1,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 1,,1,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 1,,3,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 2,,1,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 2,,2,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 3,,2,,Business,,
Implement API integration,New,,Amazon,Amazon\Iteration 2,,3,,Business,,
Implement backend,New,,Amazon,Amazon\Iteration 3,,3,,Business,,
Implement frontend,New,,Amazon,Amazon\Iteration 1,,2,,Business,,
